medida500_L,medida500_M,n_students,p01,p02_01,p02_02,p03,p04,p05_01,p05_02,p05_03,p05_04,p05_05,p05_06,p05_07,p05_08,p05_09,p06,p07_01,p07_02,p07_03,p07_04,p07_05,p07_06,p07_07,p08_01,p08_02,p08_03,p08_04,p08_05,p08_06,p08_07,p08_08,p08_09,p08_10,p08_11,p09_01,p09_02,p09_03,p09_04,p09_05,p09_06,p09_07,p09_08,p09_09,p09_10,p09_11,p09_12,p09_13,p09_14,p09_15,p10_01,p10_02,p10_03,p10_04,p10_05,p11_01,p11_02,p11_03,p11_04,p11_05,p11_06,p11_07,p11_08,p11_09,p11_10,p11_11,p11_12,p11_13,p11_14,p12_01,p12_02,p12_03,p12_04,p13_01,p13_02,p13_03,p13_04,p13_05,p13_06,p14_01,p14_02,p14_03,p14_04,p14_05,p14_06,p15_01,p15_02,p15_03,p15_04,p15_05,p15_06,p15_07,p15_08,p15_09,p15_10,p15_11,p16_01,p16_02,p16_03,p16_04,p16_05,p16_06,p16_07,p16_08,p16_09,p16_10,p16_11,p16_12,p17_01,p17_02,p17_03,p17_04,p17_05,p17_06,p17_07,p17_08,p18_01,p18_02,p18_03,p18_04,p18_05,p18_06,p18_07,p18_08,p18_09,p18_10,p18_11
513.7011,479.5337419354839,31,1,6,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,10,3,2,2,2,2,1,1,4,2,3,4,4,3,3,3,4,4,3,3,3,4,3,3,4,3,3,4,4,3,3,4,3,3,2,3,2,3,3,4,1,2,3,2,3,3,3,4,3,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,3,2,1,2,2,1,3,3,3,2,4,4,4,4,2,4,3,4,4,4,3,3,2,2,2,3,3,2,1,1,1,1,1,1,1,2,2,1,1
497.24011538461536,479.1447777777778,27,1,6,6,1,4,1,4,1,4,4,4,4,4,1,6,1,1,2,1,1,2,NA,4,4,4,4,4,4,4,4,4,4,4,3,2,4,1,2,3,3,3,2,2,3,3,3,4,4,3,1,2,4,1,2,3,3,2,2,3,4,2,4,2,4,4,2,4,3,3,3,4,2,1,1,2,1,1,1,1,1,1,1,1,3,1,3,1,2,3,1,3,3,3,3,3,5,4,3,3,4,3,4,3,4,4,4,3,2,3,3,2,4,4,3,1,2,2,1,1,1,1,2,2,1,1
474.660625,440.3516,20,1,3,1,3,5,1,4,4,4,4,4,4,4,1,9,4,3,2,1,2,2,2,3,4,3,4,3,3,3,3,4,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,2,2,3,2,2,2,3,2,2,3,3,3,3,2,3,4,2,3,3,3,2,3,3,1,2,1,1,1,3,1,2,1,2,2,3,3,1,1,1,3,3,3,4,3,3,4,4,4,4,4,4,1,4,4,4,4,4,3,3,3,3,2,3,3,2,1,1,2,1,1,1,1,2,1,1,1
449.3636470588235,433.156625,20,2,4,1,2,6,4,4,4,4,4,4,4,4,4,10,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,4,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,4,2,3,4,4,1,4,2,4,3,2,2,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,2,3,3,2,4,4,4,3,4,4,1,4,3,4,4,1,1,1,2,3,2,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1
425.1293333333333,358.81783333333334,6,2,6,1,2,2,1,4,1,4,4,4,4,4,4,NA,4,1,2,2,2,2,2,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,2,2,2,3,2,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,1,1,3,2,1,2,2,2,3,3,3,3,3,3,3,3,3,4,3,3,1,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1
423.0918571428571,399.572,7,1,4,1,3,1,1,4,2,4,4,4,4,2,2,6,3,1,1,2,1,1,1,3,4,4,4,4,4,3,4,3,3,4,3,2,3,3,3,3,3,3,3,3,4,4,3,4,4,3,2,4,4,4,4,4,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,2,1,1,2,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,3,3,4,4,4,4,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1
521.8662173913043,551.36484,25,2,6,6,2,3,NA,NA,2,NA,1,NA,NA,NA,NA,5,3,3,4,3,2,3,2,4,NA,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,4,2,3,2,4,4,2,4,3,3,3,3,2,2,2,1,1,1,2,1,1,2,1,2,3,1,1,1,2,1,2,2,3,4,4,4,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3,3,4,4,3,1,1,2,1,1,1,1,2,1,1,2
467.16645,465.93655,21,2,NA,NA,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,2,3,3,3,2,3,2,3,4,2,4,3,3,3,3,1,1,1,1,1,1,2,3,1,2,1,1,3,3,3,3,3,3,3,3,2,3,1,3,3,4,4,4,4,2,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,2,1
518.570947368421,490.21742105263155,19,1,6,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1,3,2,2,2,3,3,1,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,3,4,3,3,4,4,3,4,4,3,2,2,4,2,4,2,4,3,3,3,3,3,4,2,3,3,2,3,3,4,3,4,1,2,1,1,1,1,2,1,1,1,1,1,3,3,1,1,1,1,2,3,2,1,3,5,5,5,5,5,5,4,5,5,5,4,5,3,3,3,4,3,4,4,3,1,2,2,1,2,1,1,1,1,2,1
460.60634782608696,447.3565217391304,24,1,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,9,3,2,1,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,3,2,2,3,3,3,4,3,3,3,2,2,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,3,3,2,2,2,1,1,2,1,3,3,3,3,3,3,2,3,2,4,4,4,2,2,3,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,2
