medida500_L,medida500_M,n_students,p01,p02,p03_01,p03_02,p03_03,p03_04,p03_05,p04,p05_01,p05_02,p06_01,p06_02,p06_03,p06_04,p06_05,p07,p08_01,p08_02,p08_03,p08_04,p08_05,p08_06,p08_07,p08_08,p08_09,p08_10,p08_11,p08_12,p09,p10_01,p10_02,p10_03,p10_04,p10_05,p10_06,p11_01,p11_02,p11_03,p11_04,p11_05,p11_06,p11_07,p11_08,p11_09,p11_10,p11_11,p12_01,p12_02,p12_03,p12_04,p12_05,p12_06,p13_01,p13_02,p13_03,p13_04,p13_05,p13_06,p13_07,p13_08,p13_09,p13_10,p13_11,p13_12,p13_13,p13_14,p14_01,p14_02,p14_03,p14_04,p14_05,p14_06,p14_07,p14_08,p14_09,p14_10,p14_11,p15_01,p15_02,p15_03,p15_04,p15_05,p15_06,p15_07,p15_08,p15_09,p16_01,p16_02,p16_03,p16_04,p16_05,p16_06,p17_01,p17_02,p17_03,p17_04,p17_05,p17_06,p18_01,p18_02,p18_03,p18_04,p18_05,p18_06,p18_07,p18_08,p18_09,p19_01,p19_02,p19_03,p19_04,p19_05,p19_06,p19_07,p19_08,p19_09,p20_01,p20_02,p20_03,p20_04,p20_05,p20_06,p20_07,p20_08,p20_09,p21_01,p21_02,p21_03,p21_04,p21_05,p21_06,p21_07,p22_01,p22_02,p22_03,p22_04,p22_05
461.6288484848485,437.15383333333335,40,1,1,2,2,2,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,2,1,3,1,2,1,3,2,4,1,1,2,1,1,2,1,1,2,1,1,4,4,3,3,4,4,3,2,2,1,4,4,4,2,4,3,3,2,2,2,3,3,2,3,2,3,1,2,2,2,1,2,2,1,1,1,1,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,2,3,2,2,NA,NA,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2
496.42446511627907,513.3967111111111,46,1,1,2,2,1,2,1,2,4,3,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,2,3,3,3,1,1,2,1,1,2,4,4,4,1,4,4,3,3,4,4,4,1,2,3,1,2,3,7,4,4,5,6,6,5,4,4,4,4,3,2,3,2,2,2,2,1,2,1,1,2,1,1,3,3,2,3,3,3,3,3,2,2,2,3,3,2,1,3,3,2,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,2,2,4,1,2,1,2,2,4,3,2,1,3,1
486.82842857142856,466.7459761904762,43,2,1,NA,NA,NA,2,NA,2,3,2,2,NA,NA,NA,NA,2,4,2,3,3,2,2,3,2,2,1,2,2,3,2,1,1,1,1,1,1,3,2,3,1,3,4,1,1,4,4,1,1,1,1,1,1,7,7,7,7,4,6,4,2,3,2,2,2,2,7,1,2,2,2,2,2,2,1,1,1,1,3,2,2,3,3,3,3,3,2,1,2,5,2,2,4,5,5,4,3,2,2,4,4,4,4,4,4,4,4,4,1,1,1,1,4,4,1,2,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,2,2
494.03433333333334,443.20644444444446,56,1,2,NA,2,2,1,1,2,4,3,2,2,2,2,2,2,1,1,1,1,4,1,2,2,3,1,2,3,1,1,1,4,1,1,3,3,4,3,1,1,4,4,4,4,4,4,1,2,3,2,2,2,7,5,4,4,4,3,3,2,7,7,3,3,2,4,2,1,1,1,1,2,2,2,1,1,1,4,3,2,3,3,3,3,3,3,1,4,4,2,2,3,3,3,4,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,2,4,2,1,2,2,1,3,3,2,2,3,2
488.200243902439,442.65832558139533,43,2,1,2,1,2,2,1,2,3,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,1,1,4,1,1,4,1,1,3,1,3,4,4,2,3,4,4,2,2,2,1,2,2,3,3,2,4,4,4,4,3,4,3,3,4,4,4,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,3,3,3,2,2,1,4,2,2,2,2,3,3,3,2,2,2,2,2,2,4,4,4,4,3,3,4,3,2,4,1,1,1,3,4,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2
522.74085,510.8710952380952,21,2,1,NA,NA,NA,2,NA,2,4,4,NA,NA,NA,NA,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,1,4,4,1,1,2,2,1,1,1,1,1,1,7,5,6,6,4,4,4,3,4,3,4,2,2,4,1,2,2,2,2,2,2,1,1,1,1,2,2,2,4,3,2,3,3,4,1,4,4,4,4,4,4,3,2,2,5,1,4,4,4,4,4,4,4,4,4,4,3,4,1,1,5,1,5,1,4,4,3,3,3,3,3,3,3,3,1,1,2,1,1,3,3,1,1,2,1
419.9421282051282,386.4906923076923,39,1,1,NA,2,NA,NA,NA,2,3,2,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,3,4,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,7,NA,6,5,1,NA,NA,4,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,2,3,1,NA,NA,NA,NA,5,NA,4,1,NA,3,2,1,4,NA,NA,NA,5,NA,NA,NA,4,NA,2,3,NA,NA,1,NA,NA,1,4,2,3,NA,NA,NA,NA,NA,1,NA,2,NA,NA,2,1,NA,NA,NA
468.4008888888889,428.91622222222225,9,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,1,NA,1,1,3,1,1,3,1,2,3,2,3,4,1,2,3,1,2,2,2,1,1,2,2,5,5,5,5,5,5,5,3,5,5,5,4,3,5,1,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,1,1,4,4,4,4,4,4,4,4,4,NA,NA,1,1,1,4,1,1,4,3,3,3,3,3,3,3,3,3,4,1,4,1,1,2,3,1,2,1,4,1
477.6357857142857,454.53114814814813,28,2,1,NA,NA,NA,1,NA,2,2,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,1,2,2,1,1,1,3,1,1,3,2,4,4,2,1,4,3,2,3,3,3,1,1,1,1,1,1,2,3,3,4,4,4,4,2,2,2,3,2,2,3,1,1,2,2,1,2,2,2,1,1,1,3,3,3,4,3,3,4,4,3,2,2,2,2,2,2,4,3,2,2,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,1,1,1,1,1,3,3,1,1,3,1
581.1725901639344,590.336131147541,61,2,1,NA,2,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,1,2,4,1,NA,2,2,2,2,2,2,2,1,4,1,1,2,3,1,3,2,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,2,3,2,2,3,1,2,1,2,1,2,2,2,2,1,NA,3,3,3,2,3,3,3,3,2,1,4,4,4,4,4,4,5,3,3,1,3,4,4,4,4,4,1,4,4,4,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,2,3,2
537.160435897436,525.487675,40,1,1,NA,NA,NA,NA,2,2,5,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,3,2,3,2,3,3,1,2,3,1,1,4,1,4,4,3,4,1,1,1,1,1,1,6,6,5,6,7,6,6,6,5,5,4,5,4,5,1,2,2,2,1,2,2,1,1,1,1,4,2,4,4,4,4,4,4,4,2,2,3,2,2,2,4,4,4,3,1,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,4,1,1,4,1,3,3,4,3,1,4,1
521.5787931034483,501.92806896551724,29,2,1,2,2,2,2,1,2,2,2,NA,NA,NA,NA,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,3,2,1,3,2,1,1,3,2,1,1,4,1,2,1,1,1,1,2,1,1,4,4,4,4,6,5,7,4,4,2,5,4,4,3,1,2,1,2,2,1,2,2,2,1,1,1,1,2,3,2,2,3,3,3,2,2,1,3,2,3,2,2,3,3,2,2,2,2,5,4,4,4,4,3,4,4,4,1,1,1,1,4,1,1,1,1,3,3,3,3,3,3,3,3,3,4,1,1,1,2,1,3,3,1,1,3,1
583.4350625,552.0304838709677,32,2,1,2,2,2,NA,NA,2,NA,2,2,2,2,2,NA,2,1,1,1,1,3,1,1,1,2,1,2,2,3,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,4,4,1,5,NA,4,3,3,3,4,4,3,3,4,2,1,2,2,2,2,2,1,2,1,1,3,3,3,3,3,3,3,3,3,2,3,4,4,4,5,4,3,2,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,3,1,1,1,1,1
423.5728,415.67536,27,2,1,2,2,NA,NA,NA,2,3,2,2,NA,NA,NA,NA,2,2,3,1,2,3,1,3,2,3,1,3,2,4,3,1,2,3,1,2,3,4,4,1,4,4,4,4,4,4,4,1,1,1,1,1,1,3,2,3,2,3,3,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,2,NA
498.13522,476.6398644067796,60,2,2,NA,2,NA,NA,NA,2,3,2,2,2,2,2,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,1,1,4,1,2,3,1,1,4,4,3,4,4,4,1,2,1,1,1,1,3,4,4,4,5,4,4,4,5,5,5,5,3,3,1,2,1,2,2,2,2,2,2,1,1,3,2,3,3,3,3,3,3,4,1,5,5,4,5,5,5,3,5,5,1,1,4,4,4,4,4,1,4,4,4,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,2,2,1,1,3,2
488.5059,456.2089272727273,55,2,2,NA,2,NA,NA,NA,2,4,3,NA,NA,NA,NA,2,1,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,3,NA,4,3,2,1,4,4,3,4,4,3,1,3,1,1,1,1,5,1,3,5,4,4,4,3,3,3,4,3,1,3,1,2,2,2,2,2,2,1,1,1,1,4,4,4,4,4,4,4,4,3,3,2,4,2,3,4,3,3,3,2,1,3,1,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,1,4,3,3,3,3,2,3,2,2,3,2,1,1,1,1,2,3,4,1,1,4,1
493.3042619047619,461.74238333333335,61,2,1,2,2,2,1,1,2,3,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,1,3,4,1,1,3,1,4,3,2,1,4,4,1,2,4,4,1,2,2,1,2,2,7,5,1,7,3,4,4,5,7,6,3,3,1,4,1,2,1,2,1,2,2,1,1,1,1,3,2,3,3,3,2,2,3,2,2,3,5,3,3,3,2,3,3,2,2,1,4,4,4,4,4,4,4,3,4,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,1,1,4,1
553.3820000000001,558.2863333333333,3,2,NA,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,2,2,1,2,3,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,4,3,2,7,4,3,4,2,2,2,4,3,1,4,1,2,2,2,2,2,2,2,2,2,1,4,3,3,4,4,3,3,4,3,2,1,3,4,4,5,5,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,3,NA,2,2,2,2,3,2,2,2,3,2
464.8647213114754,449.1180983606557,63,1,1,2,2,NA,NA,NA,2,2,2,2,2,2,1,1,2,3,3,2,2,2,2,3,2,3,1,2,3,1,1,2,6,1,2,2,4,3,3,3,2,4,4,2,3,4,4,2,2,2,1,2,2,4,4,5,4,4,5,5,4,4,5,4,4,3,3,2,2,2,2,2,2,2,1,2,1,1,4,4,4,4,4,4,4,4,3,2,3,5,2,4,4,4,4,3,3,2,2,4,4,3,3,3,3,3,3,3,4,3,4,3,1,3,1,3,3,3,2,3,3,2,2,2,3,2,4,3,1,2,2,2,1,3,1,1,3,1
494.1416956521739,451.64129268292686,46,2,1,2,2,2,NA,NA,2,3,1,NA,NA,NA,NA,NA,2,2,2,1,1,3,1,2,2,1,1,3,1,1,NA,2,2,2,2,2,1,3,2,1,1,4,4,1,1,4,4,1,1,2,1,3,4,7,7,4,6,5,5,3,2,2,2,2,3,4,4,1,2,1,2,2,2,1,1,1,2,1,4,4,3,3,4,4,3,4,3,1,3,1,3,3,3,NA,4,4,5,1,1,4,4,4,4,4,1,4,4,4,1,1,1,1,1,1,1,4,4,4,3,4,3,1,3,1,3,3,4,1,1,2,2,1,4,2,1,2,4,2
469.14502,447.65846153846155,52,2,1,2,2,1,1,1,2,6,6,2,2,2,2,2,2,1,2,1,2,2,1,3,1,2,1,4,3,2,1,6,2,1,6,6,2,2,2,2,1,4,4,4,4,4,3,1,2,2,1,1,1,7,NA,3,7,3,5,5,3,4,4,5,3,3,4,2,2,2,2,2,2,2,1,2,1,1,3,3,3,3,3,3,3,3,3,2,2,2,1,3,3,2,3,2,2,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,3,2,3,2,3,3,2,3,2,2,3,2,2,2,3,3,3,3,3
507.754,511.64147368421055,19,1,1,NA,NA,2,NA,NA,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,1,3,3,2,3,3,2,3,4,4,2,3,4,1,4,1,4,1,1,3,2,1,3,3,7,4,3,7,3,5,6,3,3,3,6,4,1,6,1,1,2,2,2,2,2,1,1,1,1,3,1,2,3,2,3,3,3,2,1,1,3,3,3,3,3,3,3,2,1,1,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,2,2,3,3,2,2,3,2,4,2,2,2,2,2,2,2,2,2,4,2
523.0158958333334,560.4277708333334,48,1,1,2,2,1,1,1,2,3,3,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,3,3,1,3,4,1,1,4,1,4,4,4,4,1,2,1,1,2,1,7,7,6,7,6,6,7,7,6,6,5,5,6,6,1,2,2,2,1,2,2,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,3,5,2,2,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,3,4,1,1,4,1
519.2293666666667,540.8556666666667,30,1,1,2,2,1,2,1,2,4,3,2,2,2,2,2,1,2,2,1,2,2,2,3,2,2,2,3,2,1,1,4,4,1,4,4,3,4,3,2,2,4,3,4,4,4,4,2,3,2,2,2,3,7,4,5,5,4,4,4,3,3,4,3,3,2,4,2,2,1,2,1,2,2,1,2,1,1,3,1,3,3,3,3,3,3,3,4,4,4,3,2,3,4,3,2,4,2,1,3,3,4,3,3,2,1,3,2,1,1,1,1,1,1,2,1,2,2,2,2,3,2,2,1,1,1,4,2,2,2,2,2,2,3,2,1,3,1
510.7045,474.8055,14,2,1,NA,2,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,3,1,2,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,5,5,3,4,2,2,2,1,2,2,5,1,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,2
526.3089215686274,534.5676078431372,51,1,1,NA,NA,NA,2,NA,2,3,1,NA,NA,NA,NA,NA,1,2,3,1,2,2,1,2,2,3,1,2,3,1,1,4,4,1,4,4,3,4,2,1,2,4,4,2,4,4,4,2,3,3,2,2,3,3,2,4,3,4,5,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,1,2,2,1,3,2,3,3,4,3,3,4,3,2,3,3,3,3,3,4,3,3,2,3,3,4,4,4,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,3,3,4,3,3,3,3,3,3,2,1,3,3,2,2,3,3,2,2,3,4
558.5417777777777,598.3882222222222,18,2,1,2,NA,2,NA,NA,2,3,3,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,3,1,2,3,1,2,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,4,6,4,4,3,3,3,2,3,3,3,4,1,3,1,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,2,2,2,3,4,5,4,3,3,2,2,3,3,4,3,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,2
506.0130263157895,507.8882105263158,39,1,1,2,2,2,2,2,2,3,3,NA,NA,NA,NA,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,3,4,1,3,4,4,4,4,1,1,4,1,4,4,4,4,1,3,3,2,2,2,3,2,3,3,3,3,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,1,1,4,4,3,4,4,4,4,4,3,2,3,3,2,3,3,4,3,3,3,2,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,3,2
524.829393939394,533.8196666666666,33,1,1,NA,2,NA,NA,NA,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,3,2,NA,3,2,NA,1,3,3,1,2,4,3,2,3,3,4,2,3,2,1,2,2,7,6,5,5,4,4,5,4,3,4,4,4,3,4,1,1,2,2,1,2,2,1,1,1,1,4,3,3,4,4,4,4,3,3,2,3,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,3,4,4,4,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,3,3,2,3,3,2
511.38934,514.0856078431373,51,1,1,NA,NA,2,NA,NA,2,4,NA,NA,NA,NA,NA,NA,2,4,2,2,2,3,2,4,2,3,2,2,2,1,1,1,3,1,1,3,1,1,3,1,1,4,3,4,4,4,4,1,3,1,1,1,1,7,3,3,6,4,3,3,3,3,4,4,4,4,3,1,2,2,2,2,2,2,2,1,1,1,3,3,3,4,4,4,4,4,4,2,3,3,2,2,2,3,4,4,2,1,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,4,4,1,3,3,1,1,1,1,1,3,1,1,3,1
498.0759,503.65555,40,1,1,NA,2,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,1,1,2,1,3,2,2,2,2,2,2,3,4,3,2,1,3,1,3,3,3,3,1,1,1,1,1,1,7,6,6,6,3,4,6,2,2,2,4,4,4,6,1,2,2,2,2,2,2,2,2,2,1,3,NA,3,3,3,3,3,3,4,2,4,4,3,3,4,4,3,3,2,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,NA,1,2,2,3,2,2,3,3,3,3
494.64744897959184,514.8272553191489,49,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,3,1,2,1,2,1,2,2,5,1,2,3,1,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,4,3,3,3,3,5,4,3,3,3,4,4,4,4,2,1,1,2,1,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,1,2,3,1
