medida500_L,medida500_M,n_students,p01,p02,p03_01,p03_02,p03_03,p03_04,p03_05,p04,p05_01,p05_02,p06_01,p06_02,p06_03,p06_04,p06_05,p07_01,p07_02,p07_03,p07_04,p07_05,p07_06,p07_07,p08,p09,p10_01,p10_02,p10_03,p10_04,p10_05,p10_06,p10_07,p10_08,p10_09,p10_10,p10_11,p10_12,p11,p12_01,p12_02,p12_03,p13_01,p13_02,p13_03,p14_01,p14_02,p14_03,p14_04,p14_05,p14_06,p14_07,p14_08,p14_09,p14_10,p15_01,p15_02,p15_03,p15_04,p15_05,p15_06,p15_07,p15_08,p15_09,p15_10,p16_01,p16_02,p16_03,p16_04,p16_05,p17_01,p17_02,p17_03,p17_04,p17_05,p18_01,p18_02,p18_03,p18_04,p18_05,p18_06,p18_07,p18_08,p18_09,p18_10,p18_11,p19_01,p19_02,p19_03,p19_04,p19_05,p19_06,p20_01,p20_02,p20_03,p20_04,p20_05,p20_06,p20_07,p20_08,p20_09,p20_10,p20_11,p20_12,p20_13,p20_14,p21_01,p21_02,p21_03,p21_04,p21_05,p21_06,p21_07,p21_08,p21_09,p21_10,p21_11,p22_01,p22_02,p22_03,p22_04,p22_05,p22_06,p23_01,p23_02,p23_03,p23_04,p23_05,p23_06,p23_07,p23_08,p23_09,p24_01,p24_02,p24_03,p24_04,p24_05,p24_06,p24_07,p24_08,p24_09,p25_01,p25_02,p25_03,p25_04,p25_05,p25_06,p25_07,p26_01,p26_02,p26_03,p26_04,p26_05,p26_06,p27_01,p27_02,p27_03,p27_04,p27_05,p27_06,p27_07,p27_08,p27_09,p27_10,p27_11,p27_12
447.209,418.3091111111111,9,1,1,1,NA,2,1,1,2,4,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,2,1,2,1,2,1,1,1,4,1,1,3,1,1,3,2,1,1,1,2,2,1,1,1,1,2,3,2,2,3,2,3,2,2,3,1,1,2,1,1,1,1,1,1,2,1,3,4,1,1,4,4,3,3,2,3,1,2,1,1,1,1,7,3,4,4,4,4,3,3,3,4,2,3,2,4,1,2,2,2,1,2,1,1,1,1,1,4,3,3,3,2,2,4,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,4,2,1,1,1,1,2,3,1,1,1,2,2,2,2,1,1,4,1
482.2364,454.78853333333336,15,2,1,1,2,1,1,1,2,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,1,2,2,1,1,1,2,1,2,2,3,1,1,4,1,1,4,1,2,1,1,2,2,1,2,2,1,3,4,2,3,3,3,4,3,2,3,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,3,4,4,4,4,4,1,1,1,1,1,1,5,2,3,5,3,4,4,3,3,4,4,3,3,5,1,2,2,2,2,2,2,1,1,1,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,1,1,1,1,3,2,2,2,2,2,2,3,2,1,3,1
428.3893,390.3326,10,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,7,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,1,2,1,1,2,1,1,2,1,1,3,3,1,2,3,3,3,1,2,3,1,1,2,1,1,1,1,1,1,2,1,4,1,1,1,2,1,4,4,2,2,1,1,1,1,1,1,3,3,6,6,6,3,3,3,3,3,3,3,3,6,1,2,2,2,2,2,2,1,1,1,1,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,3,1,1,1,1,4,1
542.7125714285714,546.0997142857143,14,2,1,2,1,2,1,1,2,6,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,2,4,3,2,4,2,2,2,2,2,2,2,2,2,2,3,3,2,1,3,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,4,2,2,1,2,1,1,2,1,3,4,7,7,5,4,4,3,2,2,3,2,2,3,2,2,2,2,NA,2,2,1,2,1,1,4,4,3,2,2,2,4,4,4,4,3,4,4,5,4,4,3,2,3,2,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,2,1
470.72990000000004,461.6856363636364,11,2,1,NA,NA,NA,2,NA,2,2,1,NA,2,NA,NA,NA,2,1,1,1,1,1,1,1,1,3,3,2,2,3,2,2,3,2,1,3,2,2,3,2,3,3,2,3,2,2,1,2,2,2,1,2,2,2,2,3,2,2,3,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,3,4,3,2,2,4,4,3,3,3,3,2,2,2,1,2,2,7,6,6,7,6,6,6,7,7,5,7,7,5,4,1,2,2,2,2,2,2,1,1,1,1,5,5,5,5,1,3,4,3,NA,4,1,1,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,2,NA,1,1,1,2,3,2,2,2,2,2,3,2,2,2,3,2
445.7772,439.27840000000003,5,2,1,2,2,2,2,NA,2,2,1,NA,NA,NA,NA,2,1,1,1,1,1,2,2,7,1,1,2,1,2,4,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,3,2,2,1,2,1,2,1,2,2,3,3,2,3,2,3,3,2,3,1,1,2,1,1,1,1,1,1,2,1,3,2,1,1,NA,3,2,2,3,4,1,3,1,1,2,3,7,2,3,7,1,3,7,4,3,4,5,4,3,NA,1,2,2,2,1,2,2,1,1,1,1,5,5,4,3,4,1,4,4,4,4,4,1,4,4,4,3,2,2,2,NA,NA,2,2,2,1,1,1,4,1,1,4,1,1,1,1,1,2,3,2,1,2,2,2,NA,2,2,2,3,2
505.39509375,522.820375,32,1,1,2,2,1,2,1,2,4,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,1,4,3,1,4,3,1,2,1,2,2,1,1,2,2,2,2,3,2,2,2,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,4,3,3,1,1,4,1,2,2,4,3,2,2,2,1,2,2,4,4,2,4,2,3,3,2,1,2,3,3,1,3,2,2,1,1,1,2,2,1,1,1,1,3,4,1,1,5,1,4,4,4,1,4,1,4,4,4,3,3,2,3,1,1,2,2,2,1,1,1,4,1,1,1,1,2,1,1,1,1,4,1,1,1,NA,3,3,2,2,1,4,1
433.8891923076923,400.623,27,1,1,NA,2,NA,NA,NA,2,6,NA,NA,NA,NA,NA,2,1,1,2,1,1,1,1,7,2,NA,2,1,1,2,2,3,2,2,2,3,3,3,2,2,4,2,2,4,NA,2,1,1,1,2,2,2,2,2,2,3,2,3,3,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,4,3,3,4,4,4,4,4,4,4,4,1,2,2,1,1,2,4,4,3,4,3,4,4,2,2,3,3,1,2,3,1,1,2,2,2,2,1,2,2,2,1,3,4,1,1,1,1,4,4,4,4,3,1,4,4,4,3,3,3,3,4,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,3,2,2,2,2,2,3
414.807,351.10645454545454,11,1,1,2,2,2,1,1,2,5,2,2,1,1,1,1,1,1,1,1,1,2,1,7,1,1,1,1,1,2,2,2,3,2,1,2,1,3,1,1,3,1,1,3,1,2,1,2,2,2,1,1,1,1,2,4,2,2,3,2,4,2,2,3,1,1,2,1,1,1,1,1,1,1,3,4,4,1,1,3,3,4,4,4,4,1,2,1,1,1,1,NA,1,3,2,1,4,3,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,3,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,2,2,2,2,3,2,2,2,3,3
417.3630909090909,381.3795,11,2,1,2,2,2,NA,NA,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,7,2,3,3,2,2,2,2,2,2,1,1,3,2,4,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,3,3,1,3,2,3,3,1,3,1,1,1,2,1,1,1,1,1,1,3,3,3,1,1,1,1,3,1,1,1,1,2,1,1,1,1,4,2,2,4,1,2,3,3,3,3,4,3,3,1,1,2,2,1,2,2,2,1,1,1,1,5,4,4,3,1,1,4,4,4,4,4,1,4,4,4,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,4,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,3,1
361.4614,311.2746666666667,7,2,1,NA,2,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,1,1,1,1,1,2,1,7,2,2,2,2,1,1,2,2,2,2,1,2,1,4,1,2,2,1,1,6,2,2,3,2,3,3,1,3,3,1,2,3,3,2,3,2,3,3,2,4,2,2,2,2,2,2,2,2,2,2,1,4,3,1,1,3,1,4,4,4,4,1,2,2,1,2,2,3,3,2,3,4,5,4,2,2,3,4,2,4,3,1,2,2,2,2,1,2,2,2,1,1,5,3,3,1,1,1,4,4,4,4,4,1,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,1,1,2,2,1,2,3,2,3,3,2,3,2,3,NA,2,3,2
412.88616666666667,410.52666666666664,6,2,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,3,2,1,1,1,NA,1,1,NA,1,2,2,3,2,2,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,3,2,3,2,3,3,2,NA,1,1,1,2,2,1,1,1,2,2,4,4,2,1,NA,3,2,4,4,4,4,1,1,1,NA,NA,1,NA,NA,4,7,5,3,NA,2,NA,4,3,1,3,1,1,2,2,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,1,1,1,5,4,4,4,4,1,1,1,1,3,2,NA,2,2,2,2,2,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,2,2,2,3,2,2,2,2,2,2
417.884,294.8298571428571,7,2,1,NA,2,NA,NA,NA,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,7,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,NA,NA,NA,3,NA,NA,3,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461.89471428571426,438.6184285714286,7,2,1,NA,2,NA,NA,NA,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,7,2,2,3,1,1,2,1,2,2,2,1,2,2,3,2,1,4,1,1,4,1,2,1,2,2,2,1,1,1,1,2,3,2,2,3,2,3,2,2,3,1,1,2,1,1,1,1,1,1,2,2,3,4,2,1,3,1,4,3,4,4,1,1,1,1,1,1,7,4,4,NA,4,4,6,4,5,4,4,7,4,4,1,2,1,2,1,2,2,1,1,1,1,3,3,2,1,1,1,4,4,4,4,4,1,4,4,4,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2
357.40472727272726,310.551,12,1,1,NA,NA,NA,2,1,2,6,6,NA,NA,NA,NA,2,1,2,2,1,1,1,1,7,2,3,2,1,2,2,1,4,NA,1,1,2,1,2,1,2,6,2,1,6,1,1,1,1,1,3,1,2,1,1,4,3,3,2,4,2,3,3,2,4,1,1,2,1,1,1,1,1,1,2,4,4,3,2,1,1,1,4,4,4,4,1,2,2,1,2,1,7,3,2,5,4,3,3,3,3,5,3,3,4,4,1,2,2,2,2,2,2,1,1,1,1,3,2,1,1,1,1,2,2,1,2,2,1,2,5,5,4,3,3,4,3,4,3,3,3,1,2,1,1,1,2,4,1,1,1,1,1,1,4,1,2,2,1,2,3,3,1,1,1,1
407.0131666666667,345.6777142857143,7,1,1,NA,2,NA,NA,NA,2,NA,6,NA,NA,NA,NA,2,1,1,1,1,1,2,2,7,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,6,NA,NA,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
482.93045454545455,448.7037931034483,58,1,1,NA,NA,NA,2,NA,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,3,4,4,4,2,2,2,4,2,3,2,4,2,3,6,6,3,1,1,3,2,2,1,1,2,2,1,1,1,1,2,3,2,2,3,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,4,3,4,4,4,1,2,1,1,2,2,6,6,5,4,3,5,4,2,3,3,3,4,3,4,2,2,2,2,2,1,1,1,1,2,1,4,3,3,3,1,1,3,4,3,3,3,3,3,3,4,2,2,2,3,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,2,2,2,2,3,2,2,3,2
449.1607142857143,449.8012857142857,7,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,7,2,2,2,2,2,2,2,2,3,3,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,3,3,2,3,2,3,3,2,3,1,1,2,1,1,1,1,1,1,2,2,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,4,5,3,2,7,2,2,2,3,3,2,3,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,4,1,2,1,1,1,1,3,2,2,2,2,2,3,2,1,1,3,1
407.4595,364.1075,12,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,4,3,2,3,2,2,3,1,3,3,3,1,4,2,5,4,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,4,4,4,4,1,1,1,1,1,1,3,3,3,5,3,2,3,3,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,1,1,1,4,1,1,4,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,3,1,1,1,1,1,1,1,3,3
369.7463333333333,371.33883333333335,7,1,1,NA,2,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,1,1,1,1,1,2,1,7,3,2,2,1,1,3,3,3,3,3,1,1,1,5,2,1,4,2,1,4,1,1,1,1,1,3,1,3,1,1,2,1,1,3,1,2,1,1,3,1,NA,NA,2,NA,NA,1,1,1,1,1,1,1,4,1,1,4,2,4,4,4,3,1,1,1,1,1,1,4,4,5,5,3,5,5,5,5,5,5,1,3,5,1,2,2,2,2,2,2,2,2,2,2,4,4,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
464.303,392.168,1,1,1,NA,NA,2,NA,NA,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,7,4,3,4,3,4,2,1,3,3,3,1,3,3,5,1,1,4,1,1,5,1,1,1,1,1,1,1,1,1,1,2,3,2,3,3,2,3,2,2,3,1,1,2,2,2,1,1,2,2,2,4,4,3,1,1,1,1,4,4,4,4,1,1,1,1,1,1,4,1,3,4,3,4,3,3,3,2,3,1,1,2,2,1,2,2,2,2,2,2,2,2,1,4,2,1,1,1,1,3,1,3,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,1,1,1,1,1,4,4,1,1,1,1,1,1,3,2,2,3,2,2,2,3,2,2,2,2
499.97826315789473,521.4188,40,1,1,NA,NA,NA,2,NA,2,2,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,2,1,3,1,2,4,1,3,2,2,1,3,2,NA,1,3,NA,1,3,NA,2,2,2,1,2,2,1,2,2,2,3,3,2,2,3,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,2,4,4,3,1,4,3,4,4,4,4,2,2,1,1,2,2,7,NA,4,7,6,2,3,3,3,3,3,4,3,2,1,1,2,2,2,2,2,1,1,1,1,3,5,5,4,2,1,4,4,4,3,2,3,3,3,4,3,3,2,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,3,2,2,1,3,1
423.89175,460.72900000000004,4,1,1,1,1,2,1,1,2,4,3,1,1,1,1,2,1,1,1,2,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,3,4,1,3,2,2,2,2,1,1,2,1,2,3,1,1,3,3,3,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,6,2,2,5,2,3,3,2,3,3,3,2,2,4,1,2,2,2,2,2,2,2,1,1,1,4,4,3,3,1,2,5,4,5,5,5,4,5,5,5,4,4,4,4,3,4,4,3,3,2,2,2,1,2,1,2,2,1,2,2,1,2,3,1,2,2,1,2,3,3,1,1,3,1
569.1651666666667,536.7155,6,1,1,NA,NA,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,3,1,1,4,1,1,4,2,2,2,2,3,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,2,1,2,4,4,3,3,2,2,2,4,1,1,4,1,2,2,2,2,2,2,1,1,1,1,4,4,3,2,2,2,4,1,1,4,1,1,3,4,4,3,3,3,3,2,3,2,3,1,5,4,1,5,4,4,5,1,1,2,2,2,2,4,2,1,2,2,3,4,2,2,2,4,1
