variable,PC1,PC2,PC3
academic_math,0.9159643640779834,-0.012951583976673064,-0.40105054570704274
academic_lang,0.9154741963406383,-0.03518336866000753,0.40083553535625793
socioemotional_learning,0.044117366089362973,0.9989865541904815,0.008917542036463437
