medida500_l,medida500_m,grade
612.802,622.422,6to
496.802,547.295,6to
474.588,472.027,6to
478.057,518.84,6to
614.81,516.863,6to
606.838,602.37,6to
542.387,626.306,6to
456.209,516.863,6to
436.246,459.882,6to
483.474,470.967,6to
519.26,534.021,6to
515.791,470.332,6to
536.909,507.684,6to
480.188,528.796,6to
538.309,579.563,6to
433.569,399.512,6to
491.386,456.281,6to
479.153,423.73,6to
466.372,494.974,6to
538.309,437.711,6to
589.006,580.481,6to
542.934,532.326,6to
464.912,459.882,6to
519.808,477.675,6to
441.846,454.798,6to
461.503,455.787,6to
451.644,488.337,6to
493.577,459.882,6to
441.846,437.711,6to
570.626,502.953,6to
393.827,400.077,6to
529.058,454.092,6to
589.614,585.777,6to
575.799,511.92,6to
611.524,501.823,6to
570.626,517.993,6to
393.827,456.281,6to
529.058,486.078,6to
493.577,346.555,6to
441.846,419.353,6to
611.037,548.284,6to
551.029,667.965,6to
463.999,507.26,6to
589.614,442.442,6to
451.827,545.954,6to
496.802,486.572,6to
433.569,438.558,6to
569.835,503.659,6to
450.305,418.435,6to
592.414,641.416,6to
477.145,582.599,6to
536.909,670.224,6to
560.706,582.246,6to
524.007,616.562,6to
668.793,667.965,6to
529.058,470.332,6to
536.909,553.509,6to
533.014,563.606,6to
611.524,664.717,6to
433.569,438.558,6to
592.414,549.413,6to
574.034,650.383,6to
570.139,704.328,6to
480.188,625.176,6to
524.007,516.863,6to
554.498,665.988,6to
592.414,599.687,6to
642.441,684.84,6to
536.909,507.684,6to
592.353,831.282,6to
510.252,501.823,6to
640.067,487.702,6to
592.414,619.245,6to
490.047,564.877,6to
767.0829999999999,569.325,6to
709.752,742.174,6to
496.802,547.295,6to
640.067,755.378,6to
409.529,488.337,6to
592.596,624.046,6to
612.802,644.24,6to
519.808,477.675,6to
621.931,565.3,6to
529.058,739.421,6to
612.802,603.288,6to
546.586,625.176,6to
483.474,501.823,6to
611.037,598.133,6to
550.359,567.136,6to
574.034,602.017,6to
519.808,652.149,6to
600.63,615.573,6to
570.626,598.133,6to
534.414,549.413,6to
529.058,454.092,6to
570.139,569.325,6to
506.723,528.796,6to
510.252,501.823,6to
762.518,639.58,6to
551.029,549.413,6to
644.023,624.046,6to
642.928,569.325,6to
546.586,582.246,6to
687.964,664.717,6to
526.076,472.027,6to
534.414,581.893,6to
557.784,602.017,6to
612.802,522.935,6to
633.616,742.174,6to
538.309,616.562,6to
611.037,564.029,6to
592.414,757.567,6to
592.596,548.284,6to
612.802,585.777,6to
592.353,582.246,6to
456.209,437.711,6to
686.443,598.133,6to
668.793,667.965,6to
589.614,670.224,6to
589.006,547.295,6to
640.067,517.993,6to
478.057,549.413,6to
359.806,436.934,6to
570.139,569.325,6to
546.586,494.974,6to
496.802,531.973,6to
433.569,487.702,6to
519.26,503.659,6to
557.784,564.877,6to
612.802,569.325,6to
611.159,602.44,6to
483.474,454.798,6to
589.006,617.48,6to
592.414,549.413,6to
633.616,652.149,6to
392.731,437.711,6to
381.533,502.953,6to
569.835,582.387,6to
420.301,418.435,6to
464.912,403.254,6to
493.577,309.768,6to
426.752,399.159,6to
570.626,639.58,6to
569.835,599.687,6to
490.047,564.877,6to
493.272,522.935,6to
546.586,511.92,6to
589.006,516.863,6to
327.489,399.512,6to
464.912,565.3,6to
477.145,532.326,6to
727.889,602.723,6to
544.638,492.927,6to
462.477,492.503,6to
460.469,562.758,6to
432.108,459.529,6to
375.63,375.717,6to
516.947,528.443,6to
405.999,448.514,6to
503.436,707.859,6to
515.608,457.481,6to
516.947,492.503,6to
434.116,481.77,6to
382.468,427.742,6to
611.159,831.282,6to
687.964,753.472,6to
640.067,700.586,6to
592.414,534.021,6to
690.581,739.421,6to
767.0829999999999,670.224,6to
560.706,652.149,6to
687.964,842.226,6to
640.067,598.133,6to
498.385,634.638,6to
557.784,582.599,6to
767.0829999999999,670.224,6to
786.1319999999998,687.1,6to
611.524,699.033,6to
589.006,700.586,6to
592.414,667.965,6to
690.581,739.421,6to
642.928,670.224,6to
592.353,602.44,6to
641.102,699.033,6to
611.037,564.029,6to
668.793,667.965,6to
690.581,516.863,6to
642.928,670.224,6to
611.159,511.92,6to
589.006,699.033,6to
554.498,533.032,6to
592.414,534.021,6to
766.839,602.017,6to
611.159,687.1,6to
589.006,531.973,6to
766.839,739.421,6to
612.802,569.325,6to
493.577,528.796,6to
553.524,579.563,6to
611.037,580.481,6to
621.931,667.965,6to
557.723,645.3,6to
612.802,670.224,6to
588.945,687.1,6to
589.006,531.973,6to
640.067,844.41499999999985,6to
534.414,619.245,6to
644.023,624.046,6to
589.614,670.224,6to
663.012,652.149,6to
