medida500_l,medida500_m,grade
463.999,418.435,6to
479.153,423.73,6to
466.372,477.675,6to
441.846,437.711,6to
418.11,419.988,6to
534.414,549.413,6to
420.301,418.435,6to
552.794,459.882,6to
506.723,528.796,6to
461.503,455.787,6to
357.067,439.052,6to
529.058,548.284,6to
469.963,547.295,6to
461.503,472.027,6to
621.931,599.687,6to
450.305,375.081,6to
589.614,553.509,6to
506.723,441.241,6to
641.102,664.717,6to
418.11,419.988,6to
464.912,503.659,6to
463.999,454.092,6to
612.802,670.224,6to
480.188,494.974,6to
483.474,486.572,6to
491.386,400.077,6to
542.934,548.284,6to
507.453,603.288,6to
575.799,625.176,6to
611.524,638.451,6to
512.93,548.284,6to
668.793,702.704,6to
490.047,486.078,6to
642.928,603.288,6to
533.014,563.606,6to
496.802,486.572,6to
589.006,533.032,6to
438.194,488.337,6to
529.058,739.421,6to
507.453,492.221,6to
546.586,545.954,6to
589.006,547.295,6to
515.608,457.481,6to
462.477,459.882,6to
587.788,681.804,6to
458.886,602.723,6to
580.181,533.526,6to
475.319,509.873,6to
587.788,681.804,6to
524.007,694.019,6to
632.947,557.251,6to
462.477,528.443,6to
565.148,681.804,6to
574.399,783.551,6to
580.181,585.353,6to
551.637,689.006,6to
664.472,562.758,6to
574.399,530.773,6to
680.357,677.426,6to
410.989,428.532,6to
420.423,401.559,6to
574.399,602.723,6to
381.959,363.784,6to
514.452,481.77,6to
651.266,638.38,6to
603.003,585.353,6to
602.943,598.627,6to
390.601,316.053,6to
544.638,767.24,6to
602.943,598.627,6to
390.601,369.786,6to
551.577,538.328,6to
580.181,557.251,6to
570.139,486.572,6to
589.006,548.284,6to
592.414,534.021,6to
515.791,582.599,6to
418.597,403.254,6to
560.706,545.954,6to
538.309,348.815,6to
539.831,548.284,6to
668.793,565.3,6to
515.791,548.284,6to
519.808,511.92,6to
570.139,454.798,6to
554.498,502.953,6to
621.931,456.281,6to
592.596,501.47,6to
570.139,569.325,6to
519.808,563.606,6to
526.076,580.481,6to
550.359,510.155,6to
542.934,470.332,6to
496.802,516.863,6to
640.067,598.133,6to
464.912,420.482,6to
450.305,347.473,6to
642.928,644.24,6to
611.159,582.246,6to
589.006,437.711,6to
554.498,533.032,6to
621.931,846.745,6to
574.034,582.599,6to
493.272,585.777,6to
519.808,421.33,6to
392.731,348.815,6to
539.831,472.027,6to
551.029,488.337,6to
592.596,602.017,6to
642.928,585.777,6to
451.827,528.796,6to
611.524,753.472,6to
570.626,598.133,6to
451.644,619.245,6to
493.272,442.442,6to
506.723,494.974,6to
538.309,516.863,6to
554.498,639.58,6to
551.029,439.052,6to
477.145,398.17,6to
570.139,538.116,6to
663.012,563.606,6to
611.524,638.451,6to
640.067,700.586,6to
478.057,488.337,6to
614.81,739.421,6to
521.877,507.684,6to
480.188,459.882,6to
687.964,664.717,6to
447.932,564.029,6to
644.023,828.246,6to
589.614,585.777,6to
575.799,687.1,6to
611.524,597.215,6to
401.069,376.211,6to
668.793,641.416,6to
502.888,739.421,6to
589.614,507.684,6to
546.586,545.954,6to
456.209,470.967,6to
762.518,564.029,6to
534.414,565.3,6to
450.305,454.092,6to
602.943,689.006,6to
587.788,481.77,6to
604.16,530.773,6to
451.583,392.168,6to
488.465,459.882,6to
565.148,590.437,6to
515.852,511.567,6to
489.499,424.507,6to
533.136,509.873,6to
473.493,539.316,6to
604.16,476.192,6to
529.606,585.353,6to
551.637,548.637,6to
546.221,518.557,6to
472.337,459.529,6to
561.253,557.251,6to
573.791,509.873,6to
664.472,590.437,6to
532.588,530.773,6to
561.253,474.78,6to
573.791,475.91,6to
486.7,432.698,6to
604.16,530.773,6to
561.253,767.24,6to
488.465,528.443,6to
565.148,626.094,6to
418.293,427.049,6to
398.839,483.521,6to
741.034,626.094,6to
486.091,459.529,6to
544.638,533.526,6to
462.477,509.873,6to
486.7,518.557,6to
551.637,551.602,6to
603.003,474.78,6to
449.879,412.927,6to
529.606,464.824,6to
458.886,410.95,6to
489.499,492.927,6to
410.989,459.882,6to
500.271,481.77,6to
604.16,694.019,6to
502.28,457.481,6to
725.758,548.637,6to
460.469,481.77,6to
651.266,551.602,6to
451.583,408.338,6to
488.465,459.882,6to
617.427,518.557,6to
574.399,575.044,6to
680.357,585.353,6to
725.758,509.873,6to
617.427,539.316,6to
604.16,638.38,6to
419.084,421.33,6to
441.846,419.353,6to
487.369,487.702,6to
490.047,564.877,6to
767.0829999999999,644.24,6to
493.577,477.675,6to
392.731,399.159,6to
519.26,503.659,6to
521.877,585.777,6to
493.577,511.92,6to
538.309,531.973,6to
381.533,466.378,6to
464.912,456.281,6to
557.723,568.972,6to
507.453,522.935,6to
546.586,459.882,6to
372.526,437.711,6to
551.029,488.337,6to
574.034,602.017,6to
521.877,507.684,6to
546.586,545.954,6to
469.963,399.159,6to
487.369,455.787,6to
621.931,599.687,6to
477.145,532.326,6to
521.877,538.116,6to
399.548,252.929,6to
589.006,753.472,6to
570.626,564.029,6to
424.196,349.309,6to
420.301,418.435,6to
521.877,442.442,6to
506.723,528.796,6to
410.563,437.711,6to
433.569,472.027,6to
491.386,488.337,6to
403.078,311.463,6to
418.597,352.486,6to
466.372,477.675,6to
553.524,579.563,6to
500.089,472.027,6to
303.389,376.917,6to
435.82,398.17,6to
521.877,459.882,6to
519.808,528.796,6to
589.006,579.563,6to
640.067,548.284,6to
551.029,534.021,6to
518.408,568.972,6to
612.802,569.325,6to
436.246,421.33,6to
483.474,454.798,6to
456.33,568.901,6to
506.723,545.954,6to
510.252,531.973,6to
487.369,487.702,6to
451.644,534.021,6to
542.934,602.017,6to
507.453,522.935,6to
436.246,545.954,6to
570.139,563.041,6to
686.443,564.029,6to
451.644,619.245,6to
631.729,672.484,6to
507.453,538.116,6to
546.586,528.796,6to
611.524,638.451,6to
570.626,639.58,6to
505.018,472.591,6to
450.305,418.435,6to
434.908,507.684,6to
519.808,463.271,6to
582.554,544.118,6to
589.006,617.48,6to
569.835,503.659,6to
766.839,828.246,6to
434.908,476.334,6to
480.188,511.92,6to
589.006,579.563,6to
526.076,564.029,6to
592.414,549.413,6to
766.839,828.246,6to
570.139,516.863,6to
554.741,552.096,6to
569.835,549.413,6to
631.729,678.203,6to
767.0829999999999,644.24,6to
466.372,494.974,6to
554.498,564.029,6to
668.793,518.84,6to
614.81,828.246,6to
767.0829999999999,644.24,6to
592.353,494.974,6to
496.802,563.041,6to
570.626,455.787,6to
592.414,552.52,6to
557.784,564.877,6to
570.139,603.288,6to
519.808,563.606,6to
538.309,597.215,6to
474.588,472.027,6to
424.196,518.84,6to
490.047,470.332,6to
507.453,569.325,6to
451.827,494.974,6to
469.963,486.572,6to
487.369,517.993,6to
621.931,599.687,6to
435.82,602.017,6to
418.597,569.325,6to
418.11,533.032,6to
491.386,538.257,6to
420.301,532.326,6to
536.909,522.935,6to
506.723,441.241,6to
483.474,516.863,6to
539.831,472.027,6to
569.835,565.3,6to
435.82,436.934,6to
464.912,522.935,6to
399.548,399.653,6to
456.209,486.572,6to
526.076,487.702,6to
451.644,534.021,6to
502.888,486.078,6to
418.597,352.486,6to
447.932,376.211,6to
464.912,472.591,6to
450.305,398.17,6to
464.912,476.334,6to
493.577,459.882,6to
441.846,454.798,6to
500.089,598.133,6to
505.018,581.893,6to
502.888,516.863,6to
479.153,569.325,6to
560.706,511.92,6to
483.474,531.973,6to
640.067,517.993,6to
478.057,503.659,6to
502.888,398.17,6to
552.794,553.509,6to
533.014,545.954,6to
419.084,494.974,6to
589.006,664.717,6to
401.069,399.512,6to
505.018,472.591,6to
529.058,624.046,6to
612.802,569.325,6to
546.586,511.92,6to
372.526,547.295,6to
500.089,438.558,6to
519.26,641.416,6to
614.81,739.421,6to
570.139,758.485,6to
418.11,438.558,6to
438.194,518.84,6to
469.902,431.144,6to
510.252,501.823,6to
401.069,419.988,6to
464.912,439.052,6to
502.888,532.326,6to
479.153,507.684,6to
611.159,582.246,6to
496.802,597.215,6to
539.831,502.953,6to
551.029,565.3,6to
502.888,582.599,6to
450.244,403.254,6to
686.443,617.48,6to
534.414,518.84,6to
477.145,470.332,6to
536.909,403.254,6to
493.577,494.974,6to
553.524,597.215,6to
474.588,472.027,6to
357.067,373.669,6to
477.145,436.934,6to
356.702,492.221,6to
443.55,497.516,6to
510.252,486.572,6to
433.569,472.027,6to
376.603,376.917,6to
557.784,501.47,6to
586.571,420.553,6to
592.353,545.954,6to
604.16,638.38,6to
353.537,375.717,6to
449.879,428.532,6to
565.148,681.804,6to
486.091,638.38,6to
464.303,512.344,6to
502.219,509.873,6to
371.735,602.723,6to
603.003,585.353,6to
551.637,633.79,6to
741.034,771.4059999999998,6to
432.108,638.38,6to
580.181,767.24,6to
533.136,598.627,6to
587.788,681.804,6to
651.266,638.38,6to
424.805,621.363,6to
462.477,509.873,6to
587.788,681.804,6to
651.266,638.38,6to
410.137,512.344,6to
592.414,641.416,6to
542.934,582.599,6to
713.404,854.7949999999998,6to
663.012,742.174,6to
764.466,753.472,6to
474.588,472.027,6to
475.075,510.155,6to
515.791,564.877,6to
536.909,585.777,6to
519.808,652.149,6to
641.102,579.563,6to
433.569,487.702,6to
551.029,518.84,6to
557.784,516.863,6to
612.802,758.485,6to
560.706,687.1,6to
687.964,638.451,6to
786.071,630.895,6to
592.414,549.413,6to
515.791,454.092,6to
690.277,704.328,6to
470.146,466.59,6to
764.466,664.717,6to
540.987,450.703,6to
745.234,641.416,6to
400.826,423.73,6to
519.808,528.796,6to
553.524,579.563,6to
640.067,598.133,6to
491.386,488.337,6to
502.888,582.599,6to
493.272,442.442,6to
575.799,511.92,6to
641.102,563.041,6to
491.629,495.751,6to
534.414,488.337,6to
574.034,582.599,6to
536.909,492.221,6to
493.577,511.92,6to
426.752,437.711,6to
539.831,517.993,6to
668.793,549.413,6to
574.034,486.078,6to
450.244,459.882,6to
493.577,511.92,6to
641.102,470.967,6to
762.518,665.988,6to
534.414,518.84,6to
766.839,828.246,6to
464.912,522.935,6to
519.808,582.246,6to
538.309,501.823,6to
474.588,438.558,6to
519.26,599.687,6to
574.034,684.84,6to
570.139,569.325,6to
663.012,831.282,6to
589.006,597.215,6to
461.503,455.787,6to
477.145,454.092,6to
450.244,380.094,6to
546.586,563.606,6to
456.209,486.572,6to
539.831,548.284,6to
519.26,456.281,6to
690.581,828.246,6to
479.153,522.935,6to
493.577,494.974,6to
496.802,616.562,6to
515.791,582.599,6to
642.928,670.224,6to
493.577,511.92,6to
570.139,437.711,6to
526.076,639.58,6to
621.931,503.659,6to
592.596,532.326,6to
521.877,538.116,6to
575.799,831.282,6to
589.006,579.563,6to
640.067,639.58,6to
668.793,846.745,6to
592.596,624.046,6to
536.909,553.509,6to
582.737,706.093,6to
469.963,454.798,6to
589.006,665.988,6to
519.26,641.416,6to
529.058,347.473,6to
552.794,553.509,6to
603.003,585.353,6to
449.879,528.443,6to
604.16,551.602,6to
464.303,375.717,6to
449.879,428.532,6to
460.469,499.564,6to
472.337,459.529,6to
375.63,298.895,6to
488.465,444.136,6to
546.221,590.437,6to
532.588,551.602,6to
476.84,392.168,6to
533.136,509.873,6to
373.743,417.093,6to
329.802,238.948,6to
451.583,392.168,6to
449.879,548.637,6to
473.493,518.557,6to
515.852,575.044,6to
580.181,533.526,6to
437.159,412.927,6to
460.469,369.786,6to
551.637,530.773,6to
603.003,533.526,6to
516.947,428.532,6to
587.788,481.77,6to
551.637,551.602,6to
502.28,340.624,6to
551.637,475.91,6to
546.221,626.094,6to
486.091,342.672,6to
462.477,380.8,6to
514.452,448.514,6to
458.886,551.602,6to
464.303,474.78,6to
488.465,459.882,6to
617.427,603.57,6to
403.869,493.491,6to
580.181,533.526,6to
449.879,509.873,6to
500.271,464.824,6to
418.293,459.529,6to
580.181,533.526,6to
410.989,428.532,6to
617.427,562.758,6to
642.928,585.777,6to
493.577,477.675,6to
496.802,454.798,6to
570.626,561.064,6to
491.386,565.3,6to
557.784,582.599,6to
507.453,380.094,6to
506.479,482.265,6to
589.006,516.863,6to
611.037,548.284,6to
621.931,565.3,6to
482.135,480.57,6to
479.153,423.73,6to
560.706,494.974,6to
456.209,531.973,6to
433.569,419.988,6to
551.029,488.337,6to
494.185,477.534,6to
589.614,585.777,6to
533.014,494.974,6to
469.963,470.967,6to
640.067,580.481,6to
464.912,488.337,6to
592.596,739.421,6to
589.614,670.224,6to
663.012,831.282,6to
483.474,437.711,6to
570.626,502.953,6to
551.029,534.021,6to
574.034,501.47,6to
767.0829999999999,644.24,6to
560.706,511.92,6to
390.601,417.093,6to
500.515,453.103,6to
451.583,408.338,6to
535.144,574.974,6to
301.685,452.327,6to
532.588,493.491,6to
424.805,457.481,6to
460.469,464.824,6to
472.337,493.491,6to
464.303,474.78,6to
381.959,428.532,6to
546.221,539.316,6to
515.852,575.044,6to
486.091,511.567,6to
502.28,621.363,6to
573.791,633.79,6to
460.469,353.122,6to
445.558,459.529,6to
632.947,677.426,6to
514.452,539.316,6to
403.869,410.95,6to
580.181,767.24,6to
649.501,633.79,6to
500.271,499.564,6to
489.803,399.794,6to
529.606,512.344,6to
516.947,571.514,6to
441.846,477.746,6to
458.886,394.71,6to
489.499,585.353,6to
424.257,475.91,6to
587.788,771.4059999999998,6to
489.499,557.251,6to
508.122,494.056,6to
529.606,518.557,6to
502.28,557.251,6to
533.136,494.056,6to
354.572,294.235,6to
572.208,607.312,6to
489.499,557.251,6to
449.879,444.136,6to
388.532,551.602,6to
544.638,585.353,6to
551.637,571.514,6to
500.271,518.557,6to
432.108,394.71,6to
603.003,492.927,6to
437.159,475.91,6to
373.743,385.814,6to
418.293,443.148,6to
632.947,585.353,6to
493.272,380.094,6to
480.188,375.222,6to
426.752,376.211,6to
570.626,533.032,6to
424.196,400.077,6to
542.934,532.326,6to
570.139,492.221,6to
506.723,511.92,6to
592.414,503.659,6to
450.305,454.092,6to
493.272,522.935,6to
611.159,582.246,6to
426.752,399.159,6to
762.518,755.378,6to
491.386,349.309,6to
529.058,486.078,6to
476.84,557.251,6to
437.159,689.006,6to
486.7,590.437,6to
574.399,694.019,6to
603.003,767.24,6to
602.943,689.006,6to
741.034,681.804,6to
727.889,575.044,6to
561.253,621.363,6to
649.501,778.255,6to
741.034,626.094,6to
445.558,638.38,6to
488.465,571.514,6to
529.606,681.804,6to
768.604,786.446,6to
544.638,557.251,6to
488.465,528.443,6to
532.588,783.551,6to
573.791,633.79,6to
546.221,481.77,6to
500.515,530.773,6to
561.253,557.251,6to
516.947,528.443,6to
546.221,590.437,6to
500.515,530.773,6to
561.253,621.363,6to
533.136,528.443,6to
546.221,626.094,6to
532.588,783.551,6to
544.638,557.251,6to
602.943,571.514,6to
565.148,539.316,6to
432.108,511.567,6to
561.253,512.344,6to
424.257,528.443,6to
691.616,595.803,6to
727.889,575.044,6to
680.357,677.426,6to
573.791,598.627,6to
587.788,518.557,6to
574.399,551.602,6to
519.26,456.281,6to
515.791,486.078,6to
493.272,553.509,6to
546.586,563.606,6to
524.007,437.711,6to
447.932,472.027,6to
668.793,565.3,6to
557.784,739.421,6to
690.277,847.028,6to
533.014,528.796,6to
510.252,419.353,6to
447.932,472.027,6to
505.018,565.3,6to
463.999,501.47,6to
552.794,522.935,6to
560.706,528.796,6to
483.474,579.563,6to
539.831,548.284,6to
424.196,400.077,6to
477.145,532.326,6to
493.272,622.422,6to
533.014,528.796,6to
589.006,616.562,6to
500.089,533.032,6to
478.057,439.052,6to
515.791,418.435,6to
493.272,538.116,6to
480.188,563.606,6to
524.007,454.798,6to
551.029,518.84,6to
533.014,563.606,6to
496.802,547.295,6to
461.503,438.558,6to
505.018,488.337,6to
515.791,548.284,6to
552.794,522.935,6to
519.808,528.796,6to
553.524,501.823,6to
512.93,471.109,6to
438.194,508.319,6to
529.058,516.863,6to
400.826,459.882,6to
506.479,450.138,6to
483.474,454.798,6to
447.932,348.391,6to
409.529,549.413,6to
524.555,532.326,6to
434.908,476.334,6to
519.808,494.974,6to
526.867,549.555,6to
447.932,533.032,6to
464.912,534.021,6to
514.452,499.564,6to
604.16,575.044,6to
580.181,557.251,6to
573.791,571.514,6to
447.384,464.824,6to
500.515,394.71,6to
399.548,528.796,6to
469.963,501.823,6to
327.489,399.512,6to
519.26,488.337,6to
435.82,470.332,6to
380.681,423.73,6to
519.808,687.1,6to
456.209,470.967,6to
433.569,399.512,6to
569.835,472.591,6to
420.301,398.17,6to
536.909,507.684,6to
493.577,441.241,6to
510.252,597.215,6to
474.588,455.787,6to
478.057,488.337,6to
477.145,398.17,6to
521.877,442.442,6to
519.808,399.653,6to
376.603,488.337,6to
490.047,398.17,6to
507.453,459.882,6to
480.188,494.974,6to
538.309,486.572,6to
487.369,517.993,6to
519.26,503.659,6to
435.82,486.078,6to
418.597,459.882,6to
611.159,528.796,6to
441.846,531.973,6to
487.369,517.993,6to
478.057,503.659,6to
529.058,436.934,6to
560.706,582.246,6to
469.963,501.823,6to
418.11,427.19,6to
393.827,420.482,6to
529.058,486.078,6to
536.909,569.325,6to
570.139,529.149,6to
512.93,487.702,6to
569.835,599.687,6to
557.784,582.599,6to
589.006,563.041,6to
401.069,376.211,6to
451.644,488.337,6to
463.999,470.332,6to
570.139,622.422,6to
480.188,625.176,6to
510.252,597.215,6to
554.498,419.988,6to
478.057,503.659,6to
614.81,650.383,6to
570.139,585.777,6to
592.353,742.174,6to
483.474,486.572,6to
433.569,517.993,6to
551.029,549.413,6to
542.934,650.383,6to
552.672,455.363,6to
533.014,511.92,6to
538.309,563.041,6to
526.076,502.953,6to
745.234,619.245,6to
557.784,602.017,6to
418.597,380.094,6to
451.827,459.882,6to
538.309,437.711,6to
500.089,455.787,6to
506.723,602.44,6to
570.139,547.295,6to
570.626,639.58,6to
477.145,486.078,6to
690.277,704.328,6to
480.188,582.246,6to
426.752,501.823,6to
503.619,523.853,6to
505.018,518.84,6to
515.791,548.284,6to
434.908,585.777,6to
570.139,597.215,6to
447.932,533.032,6to
438.194,518.84,6to
557.784,650.383,6to
642.928,622.422,6to
546.586,477.675,6to
510.252,616.562,6to
512.93,598.133,6to
478.057,472.591,6to
477.145,564.877,6to
570.139,569.325,6to
480.188,459.882,6to
524.007,531.973,6to
533.136,633.79,6to
587.788,562.758,6to
604.16,551.602,6to
405.025,448.938,6to
475.319,509.873,6to
546.221,539.316,6to
641.102,699.033,6to
461.503,533.032,6to
505.018,488.337,6to
592.596,650.383,6to
536.909,603.288,6to
546.586,687.1,6to
456.209,531.973,6to
474.588,580.481,6to
491.386,641.416,6to
542.934,501.47,6to
612.802,622.422,6to
436.246,528.796,6to
538.309,638.451,6to
539.831,502.953,6to
491.386,619.245,6to
557.784,602.017,6to
552.794,644.24,6to
560.706,687.1,6to
611.524,753.472,6to
557.784,548.284,6to
537.761,514.18,6to
451.827,459.882,6to
553.524,531.973,6to
418.11,419.988,6to
393.827,420.482,6to
463.999,532.326,6to
450.244,492.221,6to
506.479,450.138,6to
526.867,463.412,6to
461.503,348.391,6to
451.644,488.337,6to
515.791,564.877,6to
479.153,459.882,6to
399.548,459.882,6to
570.139,501.823,6to
534.414,488.337,6to
500.515,575.044,6to
529.606,512.344,6to
488.465,778.255,6to
529.606,626.094,6to
524.007,486.572,6to
500.089,472.027,6to
551.029,599.687,6to
515.791,564.877,6to
479.153,522.935,6to
519.808,494.974,6to
392.731,437.711,6to
433.569,438.558,6to
409.529,439.052,6to
542.934,564.877,6to
493.272,492.221,6to
519.808,399.653,6to
456.209,419.353,6to
418.11,376.211,6to
566.183,524.206,6to
463.999,486.078,6to
380.681,507.684,6to
412.268,466.59,6to
491.386,376.917,6to
515.791,582.599,6to
521.877,507.684,6to
493.577,459.882,6to
553.524,753.472,6to
474.588,548.284,6to
519.26,503.659,6to
574.034,501.47,6to
456.33,500.27,6to
376.238,477.675,6to
483.474,454.798,6to
526.076,502.953,6to
550.359,466.448,6to
614.81,650.383,6to
493.272,538.116,6to
493.577,441.241,6to
456.209,454.798,6to
487.369,455.787,6to
551.029,641.416,6to
434.908,459.882,6to
575.799,494.974,6to
611.524,579.563,6to
418.11,419.988,6to
491.386,565.3,6to
490.047,486.078,6to
434.908,442.442,6to
399.548,399.653,6to
538.309,664.717,6to
526.076,455.787,6to
519.26,472.591,6to
435.82,436.934,6to
493.272,492.221,6to
451.827,421.33,6to
426.752,419.353,6to
539.831,502.953,6to
505.018,534.021,6to
502.888,501.47,6to
589.614,670.224,6to
546.586,602.44,6to
441.846,501.823,6to
540.987,509.873,6to
642.928,569.325,6to
470.146,450.138,6to
553.524,616.562,6to
505.018,456.281,6to
574.034,650.383,6to
552.794,585.777,6to
575.799,511.92,6to
510.252,753.472,6to
461.503,438.558,6to
438.194,456.281,6to
515.791,602.017,6to
586.571,766.9579999999999,6to
519.808,528.796,6to
589.006,597.215,6to
554.498,617.48,6to
621.931,667.965,6to
644.023,602.017,6to
427.604,494.692,6to
709.752,687.1,6to
553.524,547.295,6to
474.588,502.953,6to
424.196,488.337,6to
506.723,477.675,6to
483.474,419.353,6to
487.369,533.032,6to
534.414,495.963,6to
450.305,398.17,6to
469.902,455.363,6to
575.799,511.92,6to
510.252,470.967,6to
418.11,165.515,6to
424.196,549.413,6to
420.301,470.332,6to
450.244,569.325,6to
436.246,459.882,6to
469.963,501.823,6to
500.089,517.993,6to
505.018,503.659,6to
560.706,528.796,6to
553.524,579.563,6to
512.93,438.558,6to
478.057,439.052,6to
502.888,501.47,6to
507.453,538.116,6to
546.586,582.246,6to
538.309,579.563,6to
640.067,665.988,6to
438.194,549.413,6to
515.791,564.877,6to
589.614,569.325,6to
470.146,466.59,6to
687.964,664.717,6to
686.443,755.378,6to
592.414,667.965,6to
435.82,418.435,6to
507.453,492.221,6to
493.577,545.954,6to
570.139,563.041,6to
640.067,617.48,6to
433.569,399.512,6to
668.793,641.416,6to
529.058,454.092,6to
493.272,423.73,6to
592.353,582.246,6to
496.802,466.095,6to
554.498,502.953,6to
621.931,567.136,6to
502.888,501.47,6to
663.255,681.027,6to
506.723,545.954,6to
483.474,486.572,6to
554.498,533.032,6to
414.763,434.18,6to
450.305,486.078,6to
552.794,585.777,6to
419.084,494.974,6to
524.007,516.863,6to
500.089,399.512,6to
612.802,704.328,6to
506.723,511.92,6to
538.309,547.295,6to
554.498,617.48,6to
519.26,439.052,6to
574.034,602.017,6to
521.877,522.935,6to
575.799,563.606,6to
538.309,547.295,6to
447.932,487.702,6to
551.029,549.413,6to
574.034,548.284,6to
521.877,522.935,6to
592.353,625.176,6to
553.524,454.798,6to
500.089,564.029,6to
592.414,641.416,6to
542.934,582.599,6to
570.139,585.777,6to
561.253,557.251,6to
462.477,492.503,6to
473.493,401.559,6to
486.091,551.602,6to
561.253,557.251,6to
516.947,528.443,6to
390.601,353.122,6to
500.515,511.567,6to
515.608,533.526,6to
533.136,548.637,6to
587.788,681.804,6to
551.637,530.773,6to
757.284,767.24,6to
447.384,432.698,6to
532.588,476.192,6to
580.181,557.251,6to
603.003,621.363,6to
475.319,528.443,6to
434.116,401.559,6to
445.558,511.567,6to
424.805,340.624,6to
574.034,739.421,6to
767.0829999999999,522.935,6to
663.012,602.44,6to
611.524,664.717,6to
512.93,455.787,6to
569.835,518.84,6to
592.596,548.284,6to
642.928,758.485,6to
592.353,652.149,6to
589.006,616.562,6to
526.076,455.787,6to
745.234,667.965,6to
766.839,739.421,6to
612.802,538.116,6to
506.479,572.926,6to
570.139,664.717,6to
628.321,611.196,6to
551.029,599.687,6to
529.058,548.284,6to
570.139,553.509,6to
611.159,582.246,6to
510.252,501.823,6to
469.963,486.572,6to
478.057,549.413,6to
614.81,828.246,6to
539.831,517.993,6to
524.007,531.973,6to
493.577,441.241,6to
612.802,622.422,6to
690.581,828.246,6to
551.029,472.591,6to
469.963,501.823,6to
506.723,511.92,6to
767.0829999999999,704.328,6to
542.934,739.421,6to
536.909,585.777,6to
592.414,549.413,6to
526.076,472.027,6to
539.831,564.029,6to
493.272,459.882,6to
611.159,687.1,6to
570.139,516.863,6to
447.932,517.993,6to
592.414,518.84,6to
690.581,582.599,6to
536.909,622.422,6to
611.159,652.149,6to
570.139,699.033,6to
589.006,700.586,6to
551.029,581.893,6to
644.023,684.84,6to
589.614,622.422,6to
451.827,582.246,6to
589.006,699.033,6to
500.089,617.48,6to
668.793,757.567,6to
542.934,470.332,6to
612.802,670.224,6to
575.799,687.1,6to
483.474,699.033,6to
570.626,580.481,6to
478.057,549.413,6to
529.058,548.284,6to
612.802,553.509,6to
533.014,511.92,6to
687.964,699.033,6to
526.076,700.586,6to
592.414,619.245,6to
505.018,472.591,6to
766.839,684.84,6to
570.139,569.325,6to
575.799,528.796,6to
441.846,597.215,6to
640.067,580.481,6to
569.835,581.893,6to
542.934,501.47,6to
589.614,603.288,6to
466.372,477.675,6to
538.309,616.562,6to
554.498,533.032,6to
592.596,501.47,6to
521.877,459.882,6to
709.752,563.606,6to
510.252,616.562,6to
611.037,617.48,6to
424.196,400.077,6to
612.802,585.777,6to
611.159,545.954,6to
496.802,547.295,6to
570.626,598.133,6to
621.931,599.687,6to
592.596,739.421,6to
642.928,538.116,6to
663.012,511.92,6to
553.524,531.973,6to
570.626,755.378,6to
491.386,488.337,6to
557.784,564.877,6to
690.277,644.24,6to
592.353,563.606,6to
519.26,565.3,6to
592.596,564.877,6to
570.139,569.325,6to
592.353,602.44,6to
589.006,638.451,6to
418.11,487.702,6to
569.835,549.413,6to
542.934,548.284,6to
642.928,603.288,6to
506.723,528.796,6to
469.963,501.823,6to
433.569,255.824,6to
551.029,549.413,6to
710.969,769.359,6to
523.581,485.936,6to
663.012,602.44,6to
483.474,516.863,6to
554.498,517.993,6to
464.912,472.591,6to
542.934,564.877,6to
552.794,553.509,6to
592.353,687.1,6to
589.006,664.717,6to
539.831,564.029,6to
515.791,418.435,6to
642.928,704.328,6to
546.586,687.1,6to
570.139,579.563,6to
526.076,517.993,6to
409.529,420.482,6to
592.353,494.974,6to
469.963,454.798,6to
447.932,438.558,6to
534.414,456.281,6to
477.145,470.332,6to
589.614,492.221,6to
466.372,545.954,6to
483.474,454.798,6to
762.518,844.41499999999985,6to
178.747,257.518,6to
502.888,470.332,6to
450.244,459.882,6to
519.808,528.796,6to
524.007,563.041,6to
526.076,438.558,6to
551.029,503.659,6to
450.305,436.934,6to
479.153,538.116,6to
436.246,477.675,6to
441.846,501.823,6to
539.831,564.029,6to
534.414,581.893,6to
506.723,511.92,6to
441.846,486.572,6to
487.369,455.787,6to
393.827,439.052,6to
515.791,470.332,6to
536.909,459.882,6to
493.577,545.954,6to
524.007,531.973,6to
500.089,487.702,6to
542.934,454.092,6to
479.153,403.254,6to
546.586,494.974,6to
538.309,547.295,6to
486.639,481.417,6to
557.784,624.046,6to
506.479,432.768,6to
611.524,531.973,6to
418.11,419.988,6to
668.793,641.416,6to
557.784,454.092,6to
479.153,423.73,6to
519.808,511.92,6to
589.006,616.562,6to
471.728,348.391,6to
464.912,400.077,6to
435.82,465.531,6to
455.843,531.126,6to
762.518,665.988,6to
505.018,503.659,6to
515.791,501.47,6to
642.928,553.509,6to
592.353,687.1,6to
456.209,437.711,6to
554.498,564.029,6to
519.26,518.84,6to
529.058,582.599,6to
434.908,403.254,6to
436.246,582.246,6to
570.139,664.717,6to
487.369,564.029,6to
464.912,488.337,6to
502.888,501.47,6to
521.877,476.334,6to
518.286,450.138,6to
611.524,563.041,6to
327.489,472.027,6to
534.414,619.245,6to
515.791,454.092,6to
521.877,585.777,6to
546.586,528.796,6to
538.309,579.563,6to
570.626,502.953,6to
519.26,518.84,6to
542.934,532.326,6to
612.802,644.24,6to
575.799,563.606,6to
519.26,488.337,6to
490.047,486.078,6to
521.877,476.334,6to
533.014,545.954,6to
641.102,616.562,6to
487.369,564.029,6to
505.018,641.416,6to
