"from","to","weight"
"p10_03","p10_06",1.18004577283082
"p10_02","p10_05",1.1022616098091
"p10_01","p10_04",0.916570813525562
"p22_03","p22_05",0.653858585708494
"p11_10","p11_11",0.63253961338952
"p11_08","p11_09",0.552584485883292
"p12_05","p12_06",0.502393727982804
"p18_08","p18_09",0.501390406413577
"p19_03","p19_04",0.499480167759614
"p18_02","p18_03",0.498088157063692
"p13_06","p13_07",0.440518934288839
"p20_02","p20_03",0.428624572147178
"p05_02","p06_05",0.4222433858966
"p19_01","p19_02",0.416383042047656
"p16_04","p16_05",0.413500144986913
"p12_02","p12_03",0.413199704850506
"p17_01","p17_02",0.404431750076441
"p13_12","p13_13",0.40352459434954
"p22_02","p22_03",0.396279274515342
"p20_01","p20_02",0.395170955634589
"p20_06","p20_07",0.381937770737036
"p16_05","p16_06",0.375749731148242
"p20_08","p20_09",0.372749718864495
"p20_05","p20_06",0.366977022075158
"p08_07","p08_11",0.353851823243416
"p17_05","p17_06",0.346438573986497
"p18_07","p18_09",0.342915223408522
"p15_06","p15_07",0.338314343094679
"p21_02","p21_03",0.332299002738122
"p15_07","p15_08",0.322982671402404
"p21_04","p21_05",0.320134031090447
"p13_09","p13_10",0.318169287951425
"p17_03","p17_04",0.312352950368936
"p15_05","p15_06",0.311931978489466
"p12_03","p12_05",0.306400168297009
"p20_07","p20_08",0.305082804803645
"p21_05","p21_06",0.298455882144666
"p11_06","p11_07",0.293755421519437
"p08_06","p08_08",0.292745429427767
"p15_04","p15_05",0.286514943050687
"p20_03","p20_04",0.281163348843614
"p20_01","p20_03",0.278357045016189
"p18_05","p18_07",0.271931913356668
"p20_05","p20_09",0.270180991866902
"p08_01","p08_02",0.267240391341433
"p18_01","p18_02",0.260225403314472
"p20_02","p20_06",0.258405878240421
"p20_06","p20_08",0.255654062463031
"p18_04","p18_05",0.245903608800148
"p21_03","p21_04",0.245636913762886
"p12_03","p12_06",0.244501954754842
"p15_06","p15_08",0.243871127916484
"p12_03","p12_04",0.241818792781163
"p11_02","p11_03",0.240482180328812
"p05_02","p06_04",0.24011084591397
"p15_01","p15_08",0.239707324965979
"p21_02","p21_04",0.234220917171032
"p08_01","p08_04",0.234089747930332
"p20_05","p20_08",0.232278063905207
"p22_02","p22_05",0.228232707661922
"p20_04","p20_05",0.227293621580547
"p20_04","p20_06",0.227188849349236
"p18_01","p18_03",0.225373424771875
"p05_01","p05_02",0.223264724169999
"p20_04","p20_07",0.222514953766414
"p10_01","p10_02",0.221777776099394
"p05_02","p06_02",0.220534317915826
"p18_04","p18_09",0.219029137005236
"p19_08","p19_09",0.216510625715905
"p12_02","p12_05",0.216078424534243
"p16_02","p16_03",0.215454114138984
"p05_02","p06_03",0.215324291148444
"p13_08","p13_09",0.212809871870381
"p05_02","p06_01",0.210487040049638
"p15_05","p15_07",0.206842433340508
"p20_05","p20_07",0.204826490544641
"p08_07","p08_08",0.204091861204946
"p12_01","p12_05",0.203832786821161
"p13_11","p13_12",0.201225245390002
"p18_05","p18_06",0.200599036378358
"p20_07","p20_09",0.199670011241199
"p21_02","p21_05",0.198747881794961
"p15_02","p15_03",0.197825101584991
"p12_01","p12_06",0.194722032825589
"p15_05","p15_08",0.19440955332614
"p08_04","p08_07",0.193900349966947
"p18_01","p18_04",0.192629011940166
"p19_06","p19_08",0.188564386931263
"p15_01","p15_03",0.188208472441179
"p16_04","p16_06",0.188125032040524
"p17_02","p17_03",0.186217557346347
"p20_02","p20_04",0.185616781298219
"p19_06","p19_07",0.184751544880433
"p13_03","p13_05",0.184128088258843
"p08_01","p08_07",0.183078065271606
"p19_06","p19_09",0.181796284486744
"p20_03","p20_07",0.18125690343917
"p15_03","p15_09",0.180711313483451
"p12_02","p12_06",0.175530869159721
"p15_07","p15_09",0.175301084739511
"p15_01","p15_02",0.174004480430599
"p18_03","p18_05",0.172470990524033
"p19_07","p19_08",0.172287212424201
"p20_02","p20_07",0.171281993470771
"p15_08","p15_09",0.170892119354642
"p10_04","p10_05",0.16971983640865
"p11_01","p11_03",0.168009388258845
"p16_03","p16_04",0.165863199934398
"p13_07","p13_08",0.165791737403591
"p11_01","p11_02",0.165316884421636
"p16_02","p16_04",0.161876900079832
"p12_01","p12_02",0.161458157051563
"p19_04","p19_05",0.158691576042784
"p16_03","p16_06",0.157568503645322
"p21_03","p21_05",0.157296427868252
"p18_04","p18_07",0.156943258997606
"p13_01","p13_02",0.154171742655779
"p17_04","p17_06",0.152808476094291
"p12_01","p12_03",0.152618302246253
"p20_06","p20_09",0.151661394742618
"p19_04","p19_07",0.149588729322729
"p11_09","p11_11",0.148842483989624
"p18_06","p18_07",0.148403521223687
"p13_13","p13_14",0.148119148808169
"p18_07","p18_08",0.147992927284236
"p06_02","p06_03",0.147701363901517
"p21_04","p21_06",0.14692759720855
"p11_03","p11_06",0.145002487072311
"p18_04","p18_08",0.143300556900921
"p11_02","p11_06",0.14317031057091
"p11_02","p11_10",0.142758290445235
"p15_04","p15_07",0.14261046834643
"p20_03","p20_09",0.142219173194849
"p13_08","p13_10",0.141867654807961
"p19_03","p19_07",0.141713057252267
