"from","to","weight"
"p11_03","p12_02",0.0871396928934248
"p19_03","p19_05",0.0868727657117395
"p19_05","p19_06",0.0862220555510132
"p21_03","p21_06",0.0859246078718772
"p13_10","p13_11",0.0853164498805591
"p17_01","p17_04",0.0847073882875092
"p11_07","p11_08",0.0844639438177143
"p15_03","p15_08",0.0836477583830673
"p16_06","p17_01",0.0819594190262682
"p18_03","p18_06",0.0819418832206167
"p11_05","p11_06",0.0816253860719804
"p13_04","p13_06",0.081319534841726
"p16_03","p17_01",0.0802567824460855
"p11_04","p11_07",0.0791105972467228
"p19_02","p19_08",0.0789564245530254
"p08_02","p08_03",0.0776836497101382
"p11_02","p11_11",0.0774395402977305
"p11_06","p11_09",0.0765879491013412
"p08_04","p08_11",0.0765147786053773
"p20_01","p20_08",0.0758601071754852
"p18_06","p20_08",0.0750939500690868
"p20_04","p20_09",0.074659882023679
"p17_06","p19_01",0.0743441348178351
"p20_01","p20_04",0.0727552385140613
"p13_07","p13_14",0.072602705954487
"p19_05","p19_07",0.0721753807375745
"p18_05","p18_08",0.071715678713864
"p13_02","p13_03",0.071379263676003
"p16_02","p16_05",0.071092598084025
"p15_02","p15_09",0.0702904110248239
"p17_05","p19_05",0.0701085683156395
"p17_02","p17_04",0.070003527775915
"p11_01","p11_10",0.0699596360066086
"p15_06","p15_09",0.0699502420714869
"p11_03","p11_04",0.0698840835303621
"p16_02","p16_06",0.0698682116288803
"p16_01","p16_05",0.0698112521227747
"p19_01","p19_05",0.0687920865553625
"p15_02","p15_05",0.0680413348448155
"p13_06","p13_14",0.0678994545299143
"p17_03","p17_05",0.0671391164846449
"p15_02","p15_08",0.0671151169131229
"p19_05","p19_09",0.0667404461449566
"p17_05","p19_01",0.0663687930291455
"p11_03","p11_09",0.065784022689522
"p19_01","p19_08",0.0652121914579047
"p13_12","p13_14",0.0652007732867351
"p11_07","p11_10",0.0645494576852498
"p18_01","p18_05",0.0644424700624242
"p18_03","p18_08",0.0643839070115458
"p15_04","p15_07",0.0642255732363283
"p19_02","p19_07",0.0622880834803924
"p19_02","p19_04",0.0621921815298154
"p13_02","p13_04",0.0619582965566549
"p08_04","p11_06",0.0617150133938116
"p11_06","p16_01",0.0610262526660023
"p11_11","p12_02",0.0609937151719414
"p16_01","p16_04",0.0608627656450038
"p15_05","p15_09",0.0594625311515878
"p19_04","p19_09",0.0592527541842973
"p18_04","p20_02",0.059113716964394
"p18_03","p18_04",0.0589653859341978
"p19_03","p19_08",0.0584246683488964
"p21_05","p22_03",0.0579865736131802
"p18_01","p18_08",0.0570215015030204
"p11_01","p11_07",0.0568406613705033
"p20_01","p20_06",0.0563225989851004
"p21_05","p22_02",0.0557727063528752
"p18_09","p20_01",0.0548163131616946
"p11_06","p13_12",0.0548013380729641
"p18_04","p20_01",0.0542365287225224
"p11_03","p11_07",0.0541409863654422
"p08_07","p11_06",0.0531971640288776
"p21_04","p22_02",0.0526871832676522
"p13_04","p13_07",0.0521443511592228
"p17_04","p18_06",0.0519376617791668
"p12_04","p12_05",0.0517642226447829
"p18_07","p20_05",0.0517427401919237
"p08_11","p08_12",0.0515441378963162
"p15_02","p16_04",0.0514809912265845
"p19_02","p19_06",0.0514597143258603
"p18_02","p18_07",0.0508103406022503
"p19_03","p19_06",0.0506049159195883
"p21_03","p22_02",0.0501012029090506
"p19_01","p19_04",0.0500201539135435
"p15_01","p15_05",0.0495494034496042
"p05_02","p11_06",0.0495166742007535
"p11_08","p11_11",0.0491213378578611
"p21_05","p22_05",0.049098603608651
"p13_13","p17_04",0.0487206127239047
"p11_04","p11_08",0.0487096570225174
"p15_03","p15_05",0.0486451726725878
"p16_02","p17_01",0.0485806954545592
"p18_01","p18_09",0.0482443565376061
"p18_07","p20_02",0.0481418943899024
"p08_02","p11_06",0.0477429420247035
"p16_01","p16_02",0.0476592604284664
"p18_03","p20_05",0.0472977007124295
"p21_04","p22_05",0.0463788120594865
"p08_11","p11_06",0.0460301113193781
"p13_09","p13_12",0.0455452399213217
"p13_07","p13_09",0.0452646694509816
"p18_02","p18_04",0.0450036771968721
"p11_04","p11_06",0.0449540772931421
"p17_03","p18_01",0.0448486245351216
"p13_07","p13_11",0.0446382260208444
"p13_09","p13_11",0.0446134833950769
"p19_01","p19_09",0.0442160360911142
"p20_02","p20_09",0.0438806117968168
"p13_05","p13_14",0.0435266965520034
"p11_03","p12_06",0.0434523820960153
"p11_09","p11_10",0.0432456465711656
"p13_08","p13_11",0.0431576883012648
"p08_07","p11_10",0.0426583039634688
"p21_03","p22_03",0.0426194477897337
"p11_06","p18_01",0.0425709244380604
"p18_05","p20_06",0.0425310586767165
"p17_03","p18_07",0.0425034785689272
"p21_02","p22_02",0.0424831376261601
"p11_04","p11_05",0.0423756007155131
"p18_01","p18_07",0.0418846456816981
"p19_03","p19_09",0.0418632859988575
"p15_04","p15_08",0.0416974766798019
"p20_02","p20_05",0.0413725023221036
"p18_09","p20_02",0.0413144273766747
"p08_02","p11_11",0.0412982918694778
"p08_08","p11_11",0.0407460557112786
"p13_02","p13_08",0.0402223303637545
"p11_11","p12_05",0.0400496390269154
"p13_06","p13_08",0.0400373713758299
"p13_05","p13_08",0.0396573585008404
"p18_05","p19_06",0.0392316698487931
"p13_01","p13_03",0.0391981199000079
"p13_02","p13_10",0.0391439821505438
