variable,degree,in_degree,out_degree,betweenness,closeness
est6pgen_intext,14,6,8,91.5111111111111,0.4
socioemotional_learning,12,2,10,102.48333333333333,0.5581395348837209
est6pgen_motlco,11,7,4,39.761111111111106,0.2891566265060241
est6pgen_opardocp,11,7,4,24.255555555555553,0.3287671232876712
est6pgen_senper,11,5,6,90.35555555555555,0.35294117647058826
est6phse_csereg,11,8,3,14.01111111111111,0.22857142857142856
academic_lang,10,1,9,10.25,0.5094339622641509
est6pgen_diftext,10,4,6,70.22222222222223,0.34782608695652173
est6pgen_opardocn,10,2,8,9.966666666666665,0.352112676056338
est6phse_eaact,10,6,4,59.5611111111111,0.27906976744186046
est6pccss_pensocpo,9,2,7,20.716666666666665,0.5
est6pmat_ansie,9,7,2,9.63888888888889,1
est6pmat_disrp,9,9,0,0,NA
est6pmat_motmat,9,9,0,0,NA
est6pgen_estestsi,8,2,6,86.28333333333333,0.4528301886792453
est6pgen_motlau,8,5,3,15.25,0.24242424242424243
est6pgen_opparest,8,3,5,60.48333333333333,0.43636363636363634
est6pgen_segesc,7,4,3,71.47222222222223,0.36363636363636365
est6phse_eaapn,7,5,2,6.166666666666668,0.75
est6plec_actcog,7,6,1,65.95,0.32
est6pmat_actcog,7,5,2,1.8611111111111112,0.25263157894736843
academic_math,6,1,5,1.25,0.421875
est6pccss_pensocne,6,3,3,84.96666666666667,0.42105263157894735
est6pccss_pensodop,6,1,5,68.51666666666667,0.4528301886792453
est6pgen_violdoc,6,3,3,0.8333333333333333,0.23529411764705882
est6pgen_violest,6,4,2,2.533333333333333,0.5714285714285714
est6pccss_pensodon,5,1,4,25.7,0.4067796610169492
est6pgen_estestre,5,1,4,8,0.4
