variable,degree,in_degree,out_degree,betweenness,closeness
socioemotional_learning,17,1,16,210.7138888888889,0.7352941176470589
est6pccss_pensocpo,16,4,12,24.109523809523782,0.5813953488372093
est6pgen_intext,16,4,12,16.40238095238095,0.5319148936170213
est6pgen_opardocp,16,10,6,45.41587301587301,0.43103448275862066
est6pgen_opparest,16,7,9,50.18571428571428,0.4098360655737705
est6pmat_disrp,15,15,0,0,NA
est6pgen_senper,14,7,7,11.176190476190476,0.3472222222222222
est6pgen_violest,14,10,4,7.124999999999999,0.2358490566037736
est6pgen_estestsi,13,6,7,48.304761904761904,0.49019607843137253
est6pgen_motlco,13,7,6,28.433333333333334,0.36764705882352944
est6pgen_opardocn,13,5,8,13.25,0.390625
est6phse_csereg,13,10,3,21.941666666666666,0.2808988764044944
est6phse_eaact,13,10,3,24.28333333333333,0.27472527472527475
academic_lang,12,1,11,2.283333333333333,0.6
est6pccss_pensodon,12,3,9,37.97222222222222,0.5434782608695652
est6pgen_diftext,12,4,8,9.433333333333334,0.45454545454545453
est6pgen_motlau,11,6,5,15.567460317460315,0.44642857142857145
est6pgen_segesc,11,7,4,24.048412698412697,0.3968253968253968
est6pmat_actcog,11,9,2,14.126190476190475,0.36231884057971014
academic_math,10,1,9,1.5,0.5869565217391305
est6pgen_violdoc,10,6,4,7.042857142857142,0.24271844660194175
est6pmat_motmat,10,8,2,252.29722222222222,0.4716981132075472
est6plec_actcog,9,7,2,17.01111111111111,0.3424657534246575
est6pmat_ansie,9,7,2,127.11111111111111,0.3424657534246575
est6pccss_pensocne,8,2,6,20.166666666666664,0.5434782608695652
est6pccss_pensodop,8,3,5,3.9333333333333336,0.4032258064516129
est6pgen_estestre,7,3,4,7.098412698412699,0.4098360655737705
est6phse_eaapn,7,5,2,9.066666666666666,0.26595744680851063
